#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","ls","Completed","18/07/2021 9:34:28 p. m.","18/07/2021 9:34:28 p. m."
"2","cd D:\Laboratorio\","Completed","18/07/2021 9:34:38 p. m.","18/07/2021 9:34:38 p. m."
"3","ls","Completed","18/07/2021 9:34:41 p. m.","18/07/2021 9:34:41 p. m."
"4","type .\docker-compose.yaml","Completed","18/07/2021 9:34:56 p. m.","18/07/2021 9:34:56 p. m."
"5","Select-String -Pattern root","Completed","18/07/2021 9:38:37 p. m.","18/07/2021 9:39:16 p. m."
"6","Select-String -Patch .\docker-compose.yaml -Patern root","Completed","18/07/2021 9:40:41 p. m.","18/07/2021 9:40:41 p. m."
"7","Select-String -Path .\docker-compose.yaml -Patern root","Completed","18/07/2021 9:40:57 p. m.","18/07/2021 9:40:57 p. m."
"8","Select-String -Path .\docker-compose.yaml -Pattern root","Completed","18/07/2021 9:41:07 p. m.","18/07/2021 9:41:07 p. m."
"9","Select-String -Path .\docker-compose.yaml -Pattern root","Completed","18/07/2021 9:41:35 p. m.","18/07/2021 9:41:35 p. m."
"10","Select-String -Path .\docker-compose.yaml -Pattern root > archivo.txt","Completed","18/07/2021 9:42:59 p. m.","18/07/2021 9:42:59 p. m."
"11","Select-String -Path .\docker-compose.yaml -Pattern root -> archivo.txt","Completed","18/07/2021 9:43:52 p. m.","18/07/2021 9:43:52 p. m."
"12","Select-String -Path .\docker-compose.yaml -Pattern root Out-File archivo.txt","Completed","18/07/2021 9:45:19 p. m.","18/07/2021 9:45:19 p. m."
"13","Select-String -Path .\docker-compose.yaml -Pattern root |Out-File archivo.txt","Completed","18/07/2021 9:46:15 p. m.","18/07/2021 9:46:16 p. m."
"14","Select-String -Path .\docker-compose.yaml -Pattern root |Out-File ./archivo.txt","Completed","18/07/2021 9:46:49 p. m.","18/07/2021 9:46:50 p. m."
"15","ls","Completed","18/07/2021 9:47:05 p. m.","18/07/2021 9:47:05 p. m."
"16","Select-String -Path .\docker-compose.yaml -Pattern root |Out-File archivo.txt","Completed","18/07/2021 9:48:01 p. m.","18/07/2021 9:48:01 p. m."
"17","type .\docker-compose.yaml | out-file archivo2.txt","Completed","18/07/2021 9:48:59 p. m.","18/07/2021 9:49:00 p. m."
"18","history","Completed","18/07/2021 9:52:22 p. m.","18/07/2021 9:52:22 p. m."
"19","history |out-file comandos_powershell.txt","Completed","18/07/2021 9:53:15 p. m.","18/07/2021 9:53:16 p. m."
"20","history --help","Completed","18/07/2021 9:53:52 p. m.","18/07/2021 9:53:52 p. m."
"21","history ?","Completed","18/07/2021 9:54:04 p. m.","18/07/2021 9:54:04 p. m."
"22","history -help","Completed","18/07/2021 9:54:11 p. m.","18/07/2021 9:54:11 p. m."
"23","get-history |out-file comandos_powershell2.txt","Completed","18/07/2021 9:55:23 p. m.","18/07/2021 9:55:24 p. m."
"24","get-history -count 100 |out-file comandos_powershell2.txt","Completed","18/07/2021 9:56:40 p. m.","18/07/2021 9:56:40 p. m."
"25","get-history -info","Completed","18/07/2021 9:57:55 p. m.","18/07/2021 9:57:55 p. m."
"26","historyinfo","Completed","18/07/2021 9:58:34 p. m.","18/07/2021 9:58:35 p. m."
"27","HistoryInfo","Completed","18/07/2021 9:58:58 p. m.","18/07/2021 9:58:58 p. m."
"28","Get-History | Export-Csv -Path Path \ PSHistorycommands.csv","Completed","18/07/2021 10:02:55 p. m.","18/07/2021 10:02:55 p. m."
